"","id","superficie","fecha","lat","lng","idprovincia","idmunicipio","causa","muertos","heridos","time_ctrl","time_ext","personal","medios","gastos","perdidas","ALTITUD","TMEDIA","PRECIPITACION","TMIN","TMAX","VELMEDIA","RACHA","SOL","Trimestre","Mes","AÒo","DIR_VIENTO","PRES_RANGE"
"1",2001150021,5,2001-02-20,43.703581,-8.038777,"A CoruÒa","CEDEIRA","negligencia","0","0",3.55,3.55,14,2,"NO INFO",7013,"Inferior a 80",11.3,"0",7,15.6,"2-4 m/s",16.9,10.2,"Q1","febrero","2001","E",4.40000000000009
"3",2001150094,1.5,2001-02-25,43.186836,-8.68547,"A CoruÒa","CARBALLO","intencionado","0","0",2.05,2.05,5,0,"NO INFO",1028,"Inferior a 80",9,"0",6.5,11.6,"4-6 m/s",11.1,10.2,"Q1","febrero","2001","NE",4.69999999999993
"5",2001150145,1.5,2001-04-13,43.699889,-7.984566,"A CoruÒa","CEDEIRA","negligencia","0","0",1.5,1.5,9,1,"NO INFO",126,"Inferior a 80",13.9,"0",10.4,17.4,"4-6 m/s",13.9,12.1,"Q2","abril","2001","NE",3.20000000000005
"6",2001150151,1.1,2001-04-13,42.758649,-8.917814,"A CoruÒa","LOUSAME","causa desconocida","0","0",3.1,3.1,18,2,"NO INFO",234,"Inferior a 80",13.9,"0",10.4,17.4,"4-6 m/s",13.9,12.1,"Q2","abril","2001","NE",3.20000000000005
"7",2001150153,1.5,2001-04-13,43.063218,-9.235604,"A CoruÒa","MUX√É¬çA","intencionado","0","0",1.35,1.35,14,1,"NO INFO",2915,"Inferior a 80",13.9,"0",10.4,17.4,"4-6 m/s",13.9,12.1,"Q2","abril","2001","NE",3.20000000000005
"8",2001150165,1.3,2001-04-14,42.851086,-8.866091,"A CoruÒa","OUTES","intencionado","0","0",2.55,2.55,19,2,"NO INFO",534,"Inferior a 80",14.2,"0",10.4,18,"4-6 m/s",12.8,11.8,"Q2","abril","2001","E",2.60000000000002
"9",2001150181,1.5,2001-04-15,43.240732,-8.670253,"A CoruÒa","CARBALLO","intencionado","0","0",2.25,2.25,6,2,"NO INFO",2254,"Inferior a 80",12.7,"0",8.8,16.6,"< 2 m/s",9.2,11.8,"Q2","abril","2001","SE",3.39999999999998
"11",2001150194,1.05,2001-04-16,43.645998,-8.044866,"A CoruÒa","CEDEIRA","intencionado","0","0",3.1,3.1,11,0,"NO INFO",66,"Inferior a 80",12.9,"0",9.4,16.4,"4-6 m/s",11.9,6.4,"Q2","abril","2001","NE",2.80000000000007
"12",2001150197,2.5,2001-04-16,43.371826,-8.025395,"A CoruÒa","MONFERO","intencionado","0","0",2.12,2.12,6,1,"NO INFO",3600,"Inferior a 80",12.9,"0",9.4,16.4,"4-6 m/s",11.9,6.4,"Q2","abril","2001","NE",2.80000000000007
"13",2001150207,1.4,2001-04-17,43.5844,-8.035015,"A CoruÒa","SAN SADURNI√É‚ÄòO","intencionado","0","0",2.25,2.25,6,1,"NO INFO",859,"Inferior a 80",13.5,"0",10.8,16.2,"6-8 m/s",16.4,11.2,"Q2","abril","2001","NE",2.79999999999995
"14",2001150213,1.7,2001-04-17,43.291593,-8.495562,"A CoruÒa","ARTEIXO","causa desconocida","0","0",3.2,3.2,9,1,"NO INFO",2175,"Inferior a 80",13.5,"0",10.8,16.2,"6-8 m/s",16.4,11.2,"Q2","abril","2001","NE",2.79999999999995
"15",2001150214,1.4,2001-04-17,43.30714,-8.463079,"A CoruÒa","ARTEIXO","causa desconocida","0","0",2.05,2.05,16,2,"NO INFO",541,"Inferior a 80",13.5,"0",10.8,16.2,"6-8 m/s",16.4,11.2,"Q2","abril","2001","NE",2.79999999999995
"16",2001150218,1.4,2001-04-17,42.773828,-8.900901,"A CoruÒa","NOIA","negligencia","0","0",3.45,3.45,7,0,"NO INFO",595,"Inferior a 80",13.5,"0",10.8,16.2,"6-8 m/s",16.4,11.2,"Q2","abril","2001","NE",2.79999999999995
"17",2001150227,1.5,2001-04-17,43.244306,-8.079977,"A CoruÒa","ARANGA","intencionado","0","0",2.05,2.05,9,1,"NO INFO",1857,"Inferior a 80",13.5,"0",10.8,16.2,"6-8 m/s",16.4,11.2,"Q2","abril","2001","NE",2.79999999999995
"18",2001150228,5,2001-04-17,42.826981,-8.687411,"A CoruÒa","BRI√É‚ÄúN","intencionado","0","0",3.25,3.25,16,2,"NO INFO",2909,"Inferior a 80",13.5,"0",10.8,16.2,"6-8 m/s",16.4,11.2,"Q2","abril","2001","NE",2.79999999999995
"20",2001150234,1.3,2001-04-18,43.057849,-8.094067,"A CoruÒa","VILASANTAR","intencionado","0","0",1.5,1.5,5,1,"NO INFO",667,"Inferior a 80",11.9,"1",9.8,14,"2-4 m/s",11.1,6.5,"Q2","abril","2001","NE",2
"21",2001150235,1.2,2001-04-18,42.788957,-8.519923,"A CoruÒa","TEO","intencionado","0","0",1,1,8,1,"NO INFO",354,"Inferior a 80",11.9,"1",9.8,14,"2-4 m/s",11.1,6.5,"Q2","abril","2001","NE",2
"22",2001150240,6,2001-04-18,42.803509,-8.409987,"A CoruÒa","BOQUEIX√É‚ÄúN-CASANOVA","intencionado","0","0",2.45,2.45,9,2,"NO INFO",2205,"Inferior a 80",11.9,"1",9.8,14,"2-4 m/s",11.1,6.5,"Q2","abril","2001","NE",2
"23",2001150246,2,2001-04-18,42.720584,-8.88716,"A CoruÒa","BOIRO","intencionado","0","0",2.45,2.45,6,1,"NO INFO",1809,"Inferior a 80",11.9,"1",9.8,14,"2-4 m/s",11.1,6.5,"Q2","abril","2001","NE",2
"24",2001150247,1,2001-04-18,43.371826,-8.025395,"A CoruÒa","MONFERO","intencionado","0","0",1.3,1.3,6,1,"NO INFO",637,"Inferior a 80",11.9,"1",9.8,14,"2-4 m/s",11.1,6.5,"Q2","abril","2001","NE",2
"25",2001150250,1,2001-04-18,43.371826,-8.025395,"A CoruÒa","MONFERO","intencionado","0","0",3.35,3.35,11,2,"NO INFO",931,"Inferior a 80",11.9,"1",9.8,14,"2-4 m/s",11.1,6.5,"Q2","abril","2001","NE",2
"26",2001150256,3,2001-04-19,42.803773,-8.381428,"A CoruÒa","BOQUEIX√É‚ÄúN-CASANOVA","negligencia","0","0",1.55,1.55,15,0,"NO INFO",5000,"Inferior a 80",10.8,"1",9.3,12.4,"4-6 m/s",12.5,6.4,"Q2","abril","2001","SW",2.29999999999995
"27",2001150264,1,2001-04-19,42.673902,-8.91086,"A CoruÒa","BOIRO","intencionado","0","0",2.2,2.2,6,1,"NO INFO",84,"Inferior a 80",10.8,"1",9.3,12.4,"4-6 m/s",12.5,6.4,"Q2","abril","2001","SW",2.29999999999995
"29",2001150267,1.2,2001-04-20,42.851086,-8.866091,"A CoruÒa","OUTES","intencionado","0","0",1.4,1.4,16,2,"NO INFO",631,"Inferior a 80",10.2,"1",7.8,12.6,"2-4 m/s",13.1,8.4,"Q2","abril","2001","N",5.29999999999995
"30",2001150268,8,2001-04-20,43.363698,-8.292697,"A CoruÒa","SADA","intencionado","0","0",2.45,2.45,14,3,"NO INFO",8841,"Inferior a 80",10.2,"1",7.8,12.6,"2-4 m/s",13.1,8.4,"Q2","abril","2001","N",5.29999999999995
"31",2001150271,5,2001-04-20,42.854833,-8.567981,"A CoruÒa","SANTIAGO DE COMPOSTELA","intencionado","0","0",1.5,1.5,28,4,"NO INFO",6436,"Inferior a 80",10.2,"1",7.8,12.6,"2-4 m/s",13.1,8.4,"Q2","abril","2001","N",5.29999999999995
"32",2001150283,1.4,2001-04-21,42.903258,-8.81752,"A CoruÒa","NEGREIRA","intencionado","0","0",2.2,2.2,5,1,"NO INFO",817,"Inferior a 80",10.9,"1",7.8,14,"< 2 m/s",10,3.1,"Q2","abril","2001","N",5.5
"33",2001150297,3.5,2001-05-08,42.765558,-8.647949,"A CoruÒa","PADR√É‚ÄúN","intencionado","0","0",2.3,2.3,12,2,"NO INFO",3984,"Inferior a 80",13.7,"0",10,17.4,"4-6 m/s",13.6,11.8,"Q2","mayo","2001","NE",6.20000000000005
"34",2001150303,1.9,2001-05-08,43.026913,-8.741116,"A CoruÒa","SANTA COMBA","intencionado","0","0",1.5,1.5,6,1,"NO INFO",306,"Inferior a 80",13.7,"0",10,17.4,"4-6 m/s",13.6,11.8,"Q2","mayo","2001","NE",6.20000000000005
"35",2001150309,1,2001-05-09,43.063218,-9.235604,"A CoruÒa","MUX√É¬çA","intencionado","0","0",1.1,1.1,9,1,"NO INFO",276,"Inferior a 80",14.6,"0",11.2,18,"2-4 m/s",8.9,8.5,"Q2","mayo","2001","N",5.79999999999995
"37",2001150314,1,2001-05-11,43.04568,-9.033727,"A CoruÒa","VIMIANZO","intencionado","0","0",1.4,1.4,12,1,"NO INFO",673,"Inferior a 80",16.3,"0",11.6,21,"< 2 m/s",7.8,12.5,"Q2","mayo","2001","N",2.10000000000002
"38",2001150315,1.5,2001-05-11,43.227333,-8.850752,"A CoruÒa","CABANA DE BERGANTI√É‚ÄòOS","negligencia","0","0",2.45,2.45,13,1,"NO INFO",896,"Inferior a 80",16.3,"0",11.6,21,"< 2 m/s",7.8,12.5,"Q2","mayo","2001","N",2.10000000000002
"39",2001150318,1.5,2001-05-11,42.96218,-9.253058,"A CoruÒa","FISTERRA","intencionado","0","0",2,2,28,2,"NO INFO",270,"Inferior a 80",16.3,"0",11.6,21,"< 2 m/s",7.8,12.5,"Q2","mayo","2001","N",2.10000000000002
"40",2001150324,1.1,2001-05-11,43.109135,-8.922754,"A CoruÒa","ZAS","intencionado","0","0",3.5,3.5,6,1,"NO INFO",126,"Inferior a 80",16.3,"0",11.6,21,"< 2 m/s",7.8,12.5,"Q2","mayo","2001","N",2.10000000000002
"41",2001150329,1,2001-05-18,43.289192,-8.189155,"A CoruÒa","PADERNE","intencionado","0","0",0.45,0.45,7,0,"NO INFO",1262,"Inferior a 80",14.9,"0",10.8,19,"6-8 m/s",12.8,13,"Q2","mayo","2001","NE",2.29999999999995
"42",2001150331,1.5,2001-05-18,43.506013,-8.11102,"A CoruÒa","NEDA","negligencia","0","0",2.35,2.35,14,2,"NO INFO",300,"Inferior a 80",14.9,"0",10.8,19,"6-8 m/s",12.8,13,"Q2","mayo","2001","NE",2.29999999999995
"43",2001150332,3,2001-05-18,42.802734,-8.589146,"A CoruÒa","TEO","intencionado","0","0",1.55,1.55,14,2,"NO INFO",943,"Inferior a 80",14.9,"0",10.8,19,"6-8 m/s",12.8,13,"Q2","mayo","2001","NE",2.29999999999995
"44",2001150335,3,2001-05-19,43.100946,-8.367323,"A CoruÒa","ORDES","intencionado","0","0",1.5,1.5,7,1,"NO INFO",2338,"Inferior a 80",15.7,"0",11.8,19.6,"6-8 m/s",14.2,13.3,"Q2","mayo","2001","NE",1.80000000000007
"45",2001150336,4,2001-05-19,43.091084,-8.298987,"A CoruÒa","FRADES","intencionado","0","0",3.35,3.35,1,2,"NO INFO",2554,"Inferior a 80",15.7,"0",11.8,19.6,"6-8 m/s",14.2,13.3,"Q2","mayo","2001","NE",1.80000000000007
"47",2001150338,1.4,2001-05-19,42.884114,-8.369176,"A CoruÒa","TOURO","intencionado","0","0",1.23,1.23,6,1,"NO INFO",486,"Inferior a 80",15.7,"0",11.8,19.6,"6-8 m/s",14.2,13.3,"Q2","mayo","2001","NE",1.80000000000007
"49",2001150348,1,2001-05-20,43.117091,-8.905523,"A CoruÒa","ZAS","intencionado","0","0",1.4,1.4,11,0,"NO INFO",258,"Inferior a 80",17.5,"0",12.4,22.6,"2-4 m/s",10.3,13.3,"Q2","mayo","2001","E",4.10000000000002
"51",2001150363,2,2001-05-22,43.083016,-8.450777,"A CoruÒa","ORDES","intencionado","0","0",2.05,2.05,6,2,"NO INFO",648,"Inferior a 80",15.2,"0",13.2,17.3,"< 2 m/s",7.2,6,"Q2","mayo","2001","NW",5
"53",2001150373,1,2001-05-23,42.709977,-8.787082,"A CoruÒa","RIANXO","intencionado","0","0",1.35,1.35,14,2,"NO INFO",854,"Inferior a 80",14.8,"0",11.6,18,"< 2 m/s",6.7,7.4,"Q2","mayo","2001","W",3.69999999999993
"54",2001150375,1.5,2001-05-23,43.0464,-8.693641,"A CoruÒa","VAL DO DUBRA","intencionado","0","0",3.5,3.5,7,2,"NO INFO",607,"Inferior a 80",14.8,"0",11.6,18,"< 2 m/s",6.7,7.4,"Q2","mayo","2001","W",3.69999999999993
"55",2001150376,3,2001-05-23,43.0464,-8.693641,"A CoruÒa","VAL DO DUBRA","intencionado","0","0",2.5,2.5,12,3,"NO INFO",1622,"Inferior a 80",14.8,"0",11.6,18,"< 2 m/s",6.7,7.4,"Q2","mayo","2001","W",3.69999999999993
"57",2001150378,1,2001-05-23,43.374292,-8.192836,"A CoruÒa","MI√É‚ÄòO","negligencia","0","0",1.5,1.5,9,1,"NO INFO",673,"Inferior a 80",14.8,"0",11.6,18,"< 2 m/s",6.7,7.4,"Q2","mayo","2001","W",3.69999999999993
"58",2001150380,1,2001-05-24,43.124887,-8.833016,"A CoruÒa","CORISTANCO","negligencia","0","0",1.1,1.1,5,1,"NO INFO",973,"Inferior a 80",15.2,"0",13,17.4,"< 2 m/s",6.4,5.5,"Q2","mayo","2001","W",0.899999999999977
"59",2001150383,3.5,2001-05-24,43.0464,-8.693641,"A CoruÒa","VAL DO DUBRA","intencionado","0","0",3.4,3.4,8,2,"NO INFO",2296,"Inferior a 80",15.2,"0",13,17.4,"< 2 m/s",6.4,5.5,"Q2","mayo","2001","W",0.899999999999977
"60",2001150389,1.2,2001-05-25,42.854833,-8.567981,"A CoruÒa","SANTIAGO DE COMPOSTELA","intencionado","0","0",1.55,1.55,5,1,"NO INFO",673,"Inferior a 80",16,"0",11.8,20.2,"2-4 m/s",6.7,4.1,"Q2","mayo","2001","W",1.19999999999993
"62",2001150396,2,2001-05-26,43.058246,-9.157875,"A CoruÒa","MUX√É¬çA","intencionado","0","0",3.15,3.15,21,1,"NO INFO",1322,"Inferior a 80",16.8,"0",14.2,19.4,"2-4 m/s",7.5,8,"Q2","mayo","2001","NW",2.39999999999998
"64",2001150411,1.5,2001-05-27,42.916698,-8.94043,"A CoruÒa","MAZARICOS","intencionado","0","0",1.35,1.35,11,2,"NO INFO",607,"Inferior a 80",19.2,"0",13.2,25.2,"< 2 m/s",5,10.8,"Q2","mayo","2001","W",0.899999999999977
"65",2001150413,1.5,2001-05-27,43.057849,-8.094067,"A CoruÒa","VILASANTAR","causa desconocida","0","0",4,4,10,2,"NO INFO",2218,"Inferior a 80",19.2,"0",13.2,25.2,"< 2 m/s",5,10.8,"Q2","mayo","2001","W",0.899999999999977
"66",2001150418,2,2001-05-28,43.352055,-8.113049,"A CoruÒa","VILARMAIOR","negligencia","0","0",1.5,1.5,102,0,"NO INFO",373,"Inferior a 80",17.6,"0",13.7,21.5,"< 2 m/s",6.4,8.2,"Q2","mayo","2001","W",2.79999999999995
"67",2001150419,1,2001-05-28,43.251187,-8.197358,"A CoruÒa","OZA DOS R√É¬çOS","intencionado","0","0",2.35,2.35,8,1,"NO INFO",564,"Inferior a 80",17.6,"0",13.7,21.5,"< 2 m/s",6.4,8.2,"Q2","mayo","2001","W",2.79999999999995
"68",2001150422,1.4,2001-05-28,42.826981,-8.687411,"A CoruÒa","BRI√É‚ÄúN","intencionado","0","0",2,2,6,1,"NO INFO",361,"Inferior a 80",17.6,"0",13.7,21.5,"< 2 m/s",6.4,8.2,"Q2","mayo","2001","W",2.79999999999995
"69",2001150423,1.7,2001-05-28,42.826981,-8.687411,"A CoruÒa","BRI√É‚ÄúN","intencionado","0","0",1.4,1.4,11,3,"NO INFO",679,"Inferior a 80",17.6,"0",13.7,21.5,"< 2 m/s",6.4,8.2,"Q2","mayo","2001","W",2.79999999999995
"72",2001150435,1.5,2001-05-29,42.826981,-8.687411,"A CoruÒa","BRI√É‚ÄúN","intencionado","0","0",1.2,1.2,6,1,"NO INFO",1340,"Inferior a 80",17,"1",13.8,20.2,"< 2 m/s",7.8,4.1,"Q2","mayo","2001","W",4.39999999999998
"75",2001150451,2,2001-05-31,43.567613,-8.219855,"A CoruÒa","NAR√É‚ÄúN","intencionado","0","0",3.25,3.25,7,1,"NO INFO",3576,"Inferior a 80",17.5,"0",15.5,19.5,"6-8 m/s",14.2,3.3,"Q2","mayo","2001","NE",2
"77",2001150471,1,2001-06-01,42.955292,-8.071765,"A CoruÒa","MELIDE","intencionado","0","0",1.35,1.35,5,1,"NO INFO",781,"Inferior a 80",17.8,"0",14.3,21.4,"6-8 m/s",15,12.9,"Q2","junio","2001","NE",2.60000000000002
"78",2001150474,1.6,2001-06-01,43.21314,-8.692291,"A CoruÒa","CARBALLO","negligencia","0","0",1.25,1.25,5,1,"NO INFO",2831,"Inferior a 80",17.8,"0",14.3,21.4,"6-8 m/s",15,12.9,"Q2","junio","2001","NE",2.60000000000002
"79",2001150477,4,2001-06-01,43.594099,-8.130649,"A CoruÒa","VALDOVI√É‚ÄòO","causa desconocida","0","0",3.1,3.1,16,2,"NO INFO",3649,"Inferior a 80",17.8,"0",14.3,21.4,"6-8 m/s",15,12.9,"Q2","junio","2001","NE",2.60000000000002
"80",2001150479,2,2001-06-01,43.14477,-8.100581,"A CoruÒa","CURTIS","intencionado","0","0",3.35,3.35,10,2,"NO INFO",2446,"Inferior a 80",17.8,"0",14.3,21.4,"6-8 m/s",15,12.9,"Q2","junio","2001","NE",2.60000000000002
"81",2001150492,1,2001-06-02,43.163261,-8.242943,"A CoruÒa","CESURAS","intencionado","0","0",1,1,6,1,"NO INFO",4316,"Inferior a 80",17.1,"0",14.2,20,"2-4 m/s",15,13.2,"Q2","junio","2001","SE",2.69999999999993
"82",2001150496,3.5,2001-06-02,42.786588,-8.648783,"A CoruÒa","PADR√É‚ÄúN","intencionado","0","0",3,3,6,1,"NO INFO",6407,"Inferior a 80",17.1,"0",14.2,20,"2-4 m/s",15,13.2,"Q2","junio","2001","SE",2.69999999999993
"83",2001150507,2.6,2001-06-03,42.845404,-8.623962,"A CoruÒa","AMES","intencionado","0","0",4,4,9,2,"NO INFO",2404,"Inferior a 80",16.3,"0",13.4,19.2,"< 2 m/s",6.4,7.1,"Q2","junio","2001","W",4.59999999999991
"84",2001150508,1,2001-06-03,43.612623,-8.099574,"A CoruÒa","VALDOVI√É‚ÄòO","intencionado","0","0",1.35,1.35,5,2,"NO INFO",4472,"Inferior a 80",16.3,"0",13.4,19.2,"< 2 m/s",6.4,7.1,"Q2","junio","2001","W",4.59999999999991
"86",2001150540,1,2001-06-07,43.534708,-8.185687,"A CoruÒa","NAR√É‚ÄúN","intencionado","0","0",1.1,1.1,7,2,"NO INFO",64572,"Inferior a 80",15.2,"1",12,18.4,"< 2 m/s",6.4,11.1,"Q2","junio","2001","N",6.39999999999998
"87",2001150571,3,2001-06-12,43.291593,-8.495562,"A CoruÒa","ARTEIXO","intencionado","0","0",1.25,1.25,18,2,"NO INFO",1797,"Inferior a 80",17.4,"0",15,19.8,"2-4 m/s",12.5,7.6,"Q2","junio","2001","W",2.40000000000009
"88",2001150582,1.5,2001-06-14,42.997438,-8.682929,"A CoruÒa","VAL DO DUBRA","intencionado","0","0",1.35,1.35,15,2,"NO INFO",354,"Inferior a 80",18.4,"1",15.6,21.1,"4-6 m/s",10.6,3.8,"Q2","junio","2001","SW",1.79999999999995
"89",2001150610,3,2001-06-19,42.572775,-8.990898,"A CoruÒa","RIBEIRA","intencionado","0","0",3.25,3.25,11,3,"NO INFO",5277,"Inferior a 80",21,"0",14.3,27.6,"< 2 m/s",5.3,13.1,"Q2","junio","2001","E",4.5
"90",2001150616,1.5,2001-06-19,43.068876,-8.926821,"A CoruÒa","ZAS","intencionado","0","0",1.25,1.25,5,2,"NO INFO",751,"Inferior a 80",21,"0",14.3,27.6,"< 2 m/s",5.3,13.1,"Q2","junio","2001","E",4.5
"91",2001150617,3,2001-06-20,42.854833,-8.567981,"A CoruÒa","SANTIAGO DE COMPOSTELA","intencionado","0","0",3.25,3.25,15,2,"NO INFO",751,"Inferior a 80",22.7,"0",17,28.4,"< 2 m/s",8.1,13.4,"Q2","junio","2001","SW",2.10000000000002
"92",2001150618,2.5,2001-06-20,42.903258,-8.81752,"A CoruÒa","NEGREIRA","intencionado","0","0",3.15,3.15,4,1,"NO INFO",877,"Inferior a 80",22.7,"0",17,28.4,"< 2 m/s",8.1,13.4,"Q2","junio","2001","SW",2.10000000000002
"93",2001150619,1.35,2001-06-20,43.05101,-8.328803,"A CoruÒa","FRADES","intencionado","0","0",2.4,2.4,10,1,"NO INFO",96,"Inferior a 80",22.7,"0",17,28.4,"< 2 m/s",8.1,13.4,"Q2","junio","2001","SW",2.10000000000002
"94",2001150629,1.22,2001-06-20,42.572775,-8.990898,"A CoruÒa","RIBEIRA","intencionado","0","0",1.45,1.45,8,3,"NO INFO",552,"Inferior a 80",22.7,"0",17,28.4,"< 2 m/s",8.1,13.4,"Q2","junio","2001","SW",2.10000000000002
"95",2001150641,2.5,2001-06-21,43.159789,-7.980296,"A CoruÒa","CURTIS","intencionado","0","0",4.05,4.05,19,3,"NO INFO",1274,"Inferior a 80",16.9,"0",14.8,19,"2-4 m/s",7.5,10,"Q2","junio","2001","W",1.79999999999995
"96",2001150642,2,2001-06-21,42.550215,-9.015749,"A CoruÒa","RIBEIRA","intencionado","0","0",1.55,1.55,12,2,"NO INFO",1293,"Inferior a 80",16.9,"0",14.8,19,"2-4 m/s",7.5,10,"Q2","junio","2001","W",1.79999999999995
"97",2001150646,1.1,2001-06-21,43.567613,-8.219855,"A CoruÒa","NAR√É‚ÄúN","intencionado","0","0",1.45,1.45,9,2,"NO INFO",1136,"Inferior a 80",16.9,"0",14.8,19,"2-4 m/s",7.5,10,"Q2","junio","2001","W",1.79999999999995
"98",2001150650,3.05,2001-06-21,43.473549,-8.287918,"A CoruÒa","FERROL","intencionado","0","0",2.45,2.45,17,5,"NO INFO",216,"Inferior a 80",16.9,"0",14.8,19,"2-4 m/s",7.5,10,"Q2","junio","2001","W",1.79999999999995
"99",2001150666,1,2001-06-22,43.057578,-8.547833,"A CoruÒa","TORDOIA","intencionado","0","0",0.45,0.45,5,1,"NO INFO",222,"Inferior a 80",16.2,"0",13.6,18.8,"< 2 m/s",6.4,0.5,"Q2","junio","2001","W",2.39999999999998
"100",2001150668,3.5,2001-06-22,42.845404,-8.623962,"A CoruÒa","AMES","intencionado","0","0",1.2,1.2,17,3,"NO INFO",535,"Inferior a 80",16.2,"0",13.6,18.8,"< 2 m/s",6.4,0.5,"Q2","junio","2001","W",2.39999999999998
"102",2001150670,2.2,2001-06-23,43.090275,-8.772107,"A CoruÒa","SANTA COMBA","intencionado","0","0",1.5,1.5,10,1,"NO INFO",841,"Inferior a 80",17.8,"0",15.8,19.8,"2-4 m/s",13.1,10.3,"Q2","junio","2001","N",1.80000000000007
"106",2001150707,1.3,2001-06-24,43.096447,-8.175458,"A CoruÒa","MES√É¬çA","intencionado","0","0",2.35,2.35,1,1,"NO INFO",643,"Inferior a 80",18.2,"0",15,21.5,"< 2 m/s",7.5,13.2,"Q2","junio","2001","NE",3.5
"110",2001150729,5.5,2001-06-24,43.030576,-8.313216,"A CoruÒa","FRADES","intencionado","0","0",3.4,3.4,6,2,"NO INFO",1413,"Inferior a 80",18.2,"0",15,21.5,"< 2 m/s",7.5,13.2,"Q2","junio","2001","NE",3.5
"113",2001150738,1.15,2001-06-24,43.549187,-8.250286,"A CoruÒa","FERROL","causa desconocida","0","0",1.45,1.45,10,4,"NO INFO",1628,"Inferior a 80",18.2,"0",15,21.5,"< 2 m/s",7.5,13.2,"Q2","junio","2001","NE",3.5
"116",2001150745,1,2001-06-24,42.76328,-8.74306,"A CoruÒa","ROIS","causa desconocida","0","0",1.1,1.1,33,1,"NO INFO",468,"Inferior a 80",18.2,"0",15,21.5,"< 2 m/s",7.5,13.2,"Q2","junio","2001","NE",3.5
"117",2001150746,2.5,2001-06-24,42.797346,-8.681299,"A CoruÒa","ROIS","causa desconocida","0","0",2.35,2.35,2,2,"NO INFO",1700,"Inferior a 80",18.2,"0",15,21.5,"< 2 m/s",7.5,13.2,"Q2","junio","2001","NE",3.5
"119",2001150748,1.3,2001-06-24,42.788592,-8.608497,"A CoruÒa","TEO","intencionado","0","0",2.5,2.5,11,0,"NO INFO",553,"Inferior a 80",18.2,"0",15,21.5,"< 2 m/s",7.5,13.2,"Q2","junio","2001","NE",3.5
"121",2001150750,2,2001-06-24,42.765558,-8.647949,"A CoruÒa","PADR√É‚ÄúN","intencionado","0","0",2.45,2.45,3,2,"NO INFO",1268,"Inferior a 80",18.2,"0",15,21.5,"< 2 m/s",7.5,13.2,"Q2","junio","2001","NE",3.5
"124",2001150758,3,2001-06-24,42.916127,-8.648048,"A CoruÒa","AMES","intencionado","0","0",3.4,3.4,11,4,"NO INFO",1208,"Inferior a 80",18.2,"0",15,21.5,"< 2 m/s",7.5,13.2,"Q2","junio","2001","NE",3.5
"127",2001150765,1.2,2001-06-25,42.955292,-8.071765,"A CoruÒa","MELIDE","intencionado","0","0",3.25,3.25,6,2,"NO INFO",300,"Inferior a 80",17.8,"0",15,20.6,"< 2 m/s",9.2,8.5,"Q2","junio","2001","SW",4.79999999999995
"131",2001150809,2.5,2001-06-28,43.123248,-9.058135,"A CoruÒa","VIMIANZO","intencionado","0","0",1.4,1.4,5,1,"NO INFO",1899,"Inferior a 80",19.6,"0",14.8,24.4,"< 2 m/s",6.4,13.5,"Q2","junio","2001","N",1.29999999999995
"132",2001150827,4.8,2001-06-28,43.257772,-8.402182,"A CoruÒa","CULLEREDO","intencionado","0","0",3.25,3.25,47,6,"NO INFO",2362,"Inferior a 80",19.6,"0",14.8,24.4,"< 2 m/s",6.4,13.5,"Q2","junio","2001","N",1.29999999999995
"133",2001150835,1,2001-06-29,42.822663,-8.958553,"A CoruÒa","OUTES","intencionado","0","0",2.4,2.4,5,2,"NO INFO",1034,"Inferior a 80",19.6,"0",16.1,23.2,"< 2 m/s",7.5,9.3,"Q2","junio","2001","W",2.30000000000007
"134",2001150837,3,2001-06-29,43.053519,-8.240377,"A CoruÒa","FRADES","intencionado","0","0",2.15,2.15,6,1,"NO INFO",1159,"Inferior a 80",19.6,"0",16.1,23.2,"< 2 m/s",7.5,9.3,"Q2","junio","2001","W",2.30000000000007
"135",2001150839,1,2001-06-29,42.671189,-8.786446,"A CoruÒa","RIANXO","intencionado","0","0",1.25,1.25,11,2,"NO INFO",1574,"Inferior a 80",19.6,"0",16.1,23.2,"< 2 m/s",7.5,9.3,"Q2","junio","2001","W",2.30000000000007
"137",2001150865,4.2,2001-06-30,43.473549,-8.287918,"A CoruÒa","FERROL","intencionado","0","0",3.05,3.05,14,4,"NO INFO",715,"Inferior a 80",19,"0",17,20.9,"2-4 m/s",11.4,8.8,"Q2","junio","2001","N",2.10000000000002
"139",2001150867,2.4,2001-06-30,42.823895,-8.992317,"A CoruÒa","MUROS","intencionado","0","0",2.5,2.5,19,2,"NO INFO",1058,"Inferior a 80",19,"0",17,20.9,"2-4 m/s",11.4,8.8,"Q2","junio","2001","N",2.10000000000002
"140",2001150868,1.4,2001-06-30,43.294409,-8.428069,"A CoruÒa","CULLEREDO","intencionado","0","0",1.3,1.3,15,2,"NO INFO",1070,"Inferior a 80",19,"0",17,20.9,"2-4 m/s",11.4,8.8,"Q2","junio","2001","N",2.10000000000002
"141",2001150872,1.3,2001-06-30,42.572775,-8.990898,"A CoruÒa","RIBEIRA","intencionado","0","0",2,2,8,1,"NO INFO",853,"Inferior a 80",19,"0",17,20.9,"2-4 m/s",11.4,8.8,"Q2","junio","2001","N",2.10000000000002
